ms_Vx	ms_Vy	hdr_Vx	hdr_Vy	ms_res	hdr_res	d_Vx	d_Vy	d_res	d_relative_Vx	d_relative_Vy	d_relative_res
1.52042	0.0096078	1.78927	-0.008055	1.52045	1.78929	-0.268855	0.0176628	-0.268843	-15.0259	-219.277	-15.0251
1.50359	0.0151746	1.77271	-0.000166	1.50367	1.77271	-0.269115	0.0153406	-0.269039	-15.181	-9241.33	-15.1767
1.44231	0.045432	1.75419	0.009568	1.44303	1.75422	-0.311878	0.035864	-0.311188	-17.779	374.833	-17.7394
1.46541	0.0324717	1.73477	0.018016	1.46577	1.73487	-0.269368	0.0144557	-0.269102	-15.5276	80.2381	-15.5114
1.48307	0.0100569	1.71217	0.026918	1.4831	1.71238	-0.229102	-0.0168611	-0.229279	-13.3808	-62.6388	-13.3895
1.4962	0.0411414	1.68403	0.040505	1.49677	1.68452	-0.187832	0.0006364	-0.187754	-11.1537	1.57116	-11.1458
1.49041	0.0510652	1.65544	0.056488	1.49128	1.6564	-0.165032	-0.0054228	-0.165121	-9.96906	-9.59992	-9.96863
1.49849	0.0219719	1.63545	0.072348	1.49865	1.63705	-0.136958	-0.0503761	-0.138396	-8.37432	-69.6303	-8.45401
1.48334	0.0647999	1.62622	0.087274	1.48475	1.62856	-0.14288	-0.0224741	-0.143806	-8.78604	-25.7512	-8.83024
1.46548	0.0246144	1.62183	0.098097	1.46569	1.6248	-0.156352	-0.0734826	-0.159109	-9.64044	-74.9081	-9.79256
1.57147	0.0447788	1.61731	0.107668	1.57211	1.62089	-0.0458416	-0.0628892	-0.0487836	-2.83443	-58.4103	-3.00968
1.55193	0.0718472	1.61468	0.120361	1.55359	1.61916	-0.0627466	-0.0485138	-0.0655641	-3.88601	-40.3069	-4.04927
1.63188	0.06709	1.61409	0.129924	1.63326	1.61931	0.01779	-0.062834	0.0139479	1.10217	-48.3621	0.861351
1.52463	0.0497818	1.61366	0.134143	1.52544	1.61922	-0.0890256	-0.0843612	-0.0937791	-5.51701	-62.889	-5.79161
1.58917	0.0618299	1.61562	0.135732	1.59037	1.62131	-0.0264557	-0.0739021	-0.0309449	-1.63749	-54.4471	-1.90863
1.53212	0.0503457	1.61815	0.133074	1.53295	1.62361	-0.0860243	-0.0827283	-0.09066	-5.31622	-62.1671	-5.58385
1.51472	0.0580045	1.61765	0.129334	1.51583	1.62281	-0.102926	-0.0713295	-0.106978	-6.3627	-55.1514	-6.59214
1.56367	0.0443539	1.61225	0.12092	1.5643	1.61678	-0.0485838	-0.0765661	-0.052483	-3.01341	-63.3196	-3.24614
1.44909	0.0318162	1.60882	0.107524	1.44944	1.61241	-0.159732	-0.0757078	-0.162972	-9.9285	-70.4101	-10.1073
1.56025	0.0442187	1.60797	0.09414	1.56088	1.61072	-0.047712	-0.0499213	-0.0498389	-2.96723	-53.0288	-3.0942
1.56052	0.0379875	1.60826	0.0846	1.56098	1.61049	-0.0477459	-0.0466125	-0.0495072	-2.96879	-55.0975	-3.07405
1.59653	0.0385388	1.61461	0.073236	1.59699	1.61627	-0.0180842	-0.0346972	-0.0192792	-1.12003	-47.3772	-1.19282
1.63018	0.0075505	1.63069	0.057659	1.6302	1.63171	-0.0005135	-0.0501085	-0.00151507	-0.0314897	-86.9049	-0.0928512
1.63271	0.0250498	1.65121	0.040759	1.6329	1.65171	-0.0184985	-0.0157092	-0.0188093	-1.1203	-38.5417	-1.13878
1.58299	0.0020002	1.67406	0.024559	1.58299	1.67424	-0.0910723	-0.0225588	-0.0912512	-5.44021	-91.8555	-5.45031
